STATEFP,COUNTYFP,TRACTCE,GEOID,date,flares
48,013,960100,48013960100,2015-07-01,2
48,013,960100,48013960100,2015-07-04,2
48,013,960100,48013960100,2015-07-10,1
48,013,960100,48013960100,2015-07-11,1
48,013,960100,48013960100,2015-07-23,1
48,013,960100,48013960100,2015-08-29,1
48,013,960100,48013960100,2015-09-05,5
48,013,960100,48013960100,2015-09-09,1
48,013,960100,48013960100,2015-09-14,2
48,013,960100,48013960100,2015-09-16,1
48,013,960100,48013960100,2015-09-17,1
48,013,960100,48013960100,2015-09-18,1
48,013,960100,48013960100,2015-09-30,1
48,013,960100,48013960100,2015-10-08,2
48,013,960100,48013960100,2015-10-12,1
48,013,960100,48013960100,2015-10-14,1
48,013,960100,48013960100,2015-10-16,1
48,013,960100,48013960100,2015-10-18,2
48,013,960100,48013960100,2015-10-20,1
48,013,960100,48013960100,2015-11-18,1
48,013,960100,48013960100,2015-11-22,1
48,013,960100,48013960100,2015-12-02,3
48,013,960100,48013960100,2015-12-03,1
48,013,960100,48013960100,2015-12-04,5
48,013,960100,48013960100,2015-12-05,1
48,013,960100,48013960100,2015-12-06,4
48,013,960100,48013960100,2015-12-07,3
48,013,960100,48013960100,2015-12-08,2
48,013,960100,48013960100,2015-12-10,1
48,013,960100,48013960100,2015-12-11,4
48,013,960100,48013960100,2015-12-15,2
48,013,960100,48013960100,2015-12-18,3
48,013,960100,48013960100,2015-12-19,1
48,013,960100,48013960100,2015-12-28,1
48,013,960100,48013960100,2016-01-08,1
48,013,960100,48013960100,2016-01-11,2
48,013,960100,48013960100,2016-01-13,1
48,013,960100,48013960100,2016-01-15,1
48,013,960100,48013960100,2016-01-19,1
48,013,960100,48013960100,2016-01-20,1
48,013,960100,48013960100,2016-02-04,1
48,013,960100,48013960100,2016-02-05,1
48,013,960100,48013960100,2016-02-07,1
48,013,960100,48013960100,2016-02-09,1
48,013,960100,48013960100,2016-02-11,1
48,013,960100,48013960100,2016-02-16,1
48,013,960100,48013960100,2016-02-17,2
48,013,960100,48013960100,2016-03-06,1
48,013,960100,48013960100,2016-04-03,2
48,013,960100,48013960100,2016-04-15,1
48,013,960100,48013960100,2016-06-01,1
48,013,960100,48013960100,2016-07-01,1
48,013,960100,48013960100,2016-09-16,1
48,013,960100,48013960100,2016-09-18,1
48,013,960100,48013960100,2016-09-23,2
48,013,960100,48013960100,2016-10-11,1
48,013,960100,48013960100,2016-10-12,1
48,013,960100,48013960100,2016-10-13,1
48,013,960100,48013960100,2016-11-19,1
48,013,960100,48013960100,2016-11-20,2
48,013,960100,48013960100,2016-11-21,2
48,013,960100,48013960100,2017-01-20,1
48,013,960100,48013960100,2017-01-30,1
48,013,960100,48013960100,2017-02-24,1
48,013,960100,48013960100,2017-03-19,1
48,013,960100,48013960100,2017-04-25,1
48,013,960100,48013960100,2017-05-09,1
48,013,960100,48013960100,2017-05-21,2
48,013,960100,48013960100,2017-07-27,1
48,013,960100,48013960100,2017-08-04,1
48,013,960100,48013960100,2017-08-05,1
48,013,960100,48013960100,2017-08-11,1
48,013,960100,48013960100,2017-08-13,1
48,013,960100,48013960100,2017-08-14,1
48,013,960100,48013960100,2017-08-23,1
48,013,960100,48013960100,2017-08-29,2
